dttm,DIC,TA,pHcalc_insitu,pCO2calc_insitu
1988-10-31,1963.91,2319.5,8.1097,330.9
1988-12-02,1958.94,2304.9,8.1092,330.6
1989-01-08,1963.77,2305,8.1168,324.3
1989-02-26,1957.8,2295.5,8.1316,310.9
1989-03-27,1946.33,2283,8.1218,317.7
1989-05-18,1972.9,2306.7,8.1158,326.2
1989-06-24,1939,2275,8.1018,334.3
1989-07-29,1965.65,2301.8,8.0991,340.4
1989-08-24,1949,2285.4,8.093,343.8
1989-09-22,1944.9,2287.1,8.099,337.8
1989-10-18,1953.05,2286,8.0858,350.5
1989-11-27,1960.2,2301.8,8.1101,329.7
1990-01-05,1965.9,2313,8.1332,310.8
1990-02-15,1951.47,2286.3,8.1229,317.2
1990-03-19,1965.55,2303,8.134,310.1
1990-04-13,1973.17,2306.8,8.1229,320.2
1990-05-09,1964.9,2297.6,8.1167,324.3
1990-06-13,1962.93,2309.3,8.1232,318.9
1990-07-25,1948.73,2291.7,8.1084,329.7
1990-09-14,1966.54,2304.2,8.085,353.6
1990-11-19,NA,NA,NA,NA
1990-12-18,1979.3,2320,8.1212,322.4
1991-02-03,1971.93,2307.3,8.1256,317.4
1991-03-07,1979.25,2313.7,8.1263,318
1991-04-10,1967.15,2300,8.1231,319.2
1991-05-08,1965.53,2297.8,8.1144,326.5
1991-06-05,1966.15,2305,8.1139,327.3
1991-07-10,1955.3,2300,8.112,327.8
1991-08-10,1960.1,2301.7,8.0992,339.7
1991-09-18,1962.15,2305.5,8.0943,344.4
1991-10-21,1944.1,2289.5,8.0981,338.6
1991-12-07,1955.75,2297.5,8.104,334.7
1992-01-05,1967.97,2306,8.1177,324.1
1992-02-15,1974.7,2307,8.1256,317.8
1992-03-06,1960.9,2294,8.119,321.9
1992-04-17,1977.5,2306,8.1099,331.7
1992-06-09,1957,2306,8.1152,325.5
1992-07-05,1976.13,2315,8.0977,343
1992-08-05,1957.2,2297,8.0956,342.4
1992-09-23,1967.8,2311,8.0933,346.2
1992-10-20,1965.85,2307,8.087,351.6
1992-11-24,1946.8,2287,8.1052,332.3
1992-12-16,1955.5,2296,8.1161,324
1993-01-20,1968.78,2307.5,8.1349,309.6
1993-02-17,1960.8,2301.5,8.1325,310.8
1993-04-15,1976.7,2301.5,8.1074,333.7
1993-05-21,1975.25,2306,8.1105,331
1993-07-26,NA,NA,NA,NA
1993-09-15,1981.9,2321,8.0802,360.2
1993-10-30,1971.8,2311.7,8.094,345.4
1994-01-20,1979.9,2328.7,8.1508,298.3
1994-02-17,1974.47,2311,8.1357,309.5
1994-03-09,1981.16,2316.2,8.1204,323.4
1994-06-19,1960.55,2292,8.1021,336.7
1994-07-25,1960.17,2288,8.0858,351.4
1994-08-30,1953.1,2289.8,8.0883,348.4
1994-09-23,1952.88,2289.8,8.0875,349.2
1994-10-15,1959.55,2295.3,8.088,349.7
1994-11-19,1964.83,2303.5,8.1048,335.1
1995-02-06,1941.78,2257.5,8.1099,326.9
1995-03-04,1963.2,2286,8.1171,323.6
1995-04-06,1952.03,2270.3,8.1038,333.9
1995-05-07,1960.8,2284.5,8.1149,325.1
1995-07-30,1961.23,2295.5,8.0937,344.7
1995-08-29,1961,2298.5,8.0933,345.1
1995-09-26,1956.5,2299,8.0886,349
1995-10-27,1962.3,2306.5,8.0997,339.5
1995-11-17,1957,2305.5,8.1135,326.7
1996-01-17,1959.4,2294.5,8.1074,331.8
1996-03-27,1969.15,2291.5,8.1122,328.5
1996-04-24,1961.31,2288,8.1066,332.8
1996-05-22,1964.9,2295,8.0946,344.3
1996-06-26,1937.9,2270.5,8.0902,344.8
1996-07-27,1944,2277,8.0889,346.8
1996-08-21,1946.25,2283.5,8.0829,352.7
1996-10-02,1950,2292.7,8.0836,352.7
1996-10-30,1960.57,2304.3,8.0924,345.8
1996-12-11,1966.9,2293.3,8.1014,337.8
1997-01-08,1970.1,2295,8.1102,330.4
1997-02-18,1975.07,2288,8.0856,353
1997-03-12,1976.53,2301.7,8.1138,328
1997-04-09,1972.23,2300.7,8.1155,326.2
1997-05-07,1964.5,2294.3,8.101,338.2
1997-06-04,1958.07,2296.3,8.1058,333.3
1997-07-09,1972.8,2305.7,8.0895,350
1997-08-02,1975.3,2312.3,8.089,351
1997-09-25,1976.2,2318,8.0805,359.2
1997-12-05,1975.6,2311.7,8.1083,333.2
1998-01-11,1982.1,2310,8.1097,332.5
1998-02-19,1990.97,2316.7,8.1135,330.1
1998-03-18,1979.9,2314,8.1044,337.2
1998-04-15,1991.35,2317.5,8.1078,335.4
1998-05-13,1995.35,2318,8.105,338.1
1998-06-17,1994.8,2321.3,8.0937,348.7
1998-07-15,2000.1,2320,8.0805,361.6
1998-08-10,1983.55,2311,8.0818,358.5
1998-09-28,1992.9,2320.5,8.076,365.5
1998-10-19,1986.83,2320.3,8.0818,359
1998-11-11,1996.63,2327.7,8.0825,359.6
1998-12-09,1996.63,2319.7,8.0948,347.8
1999-01-13,1998.53,2315,8.0895,352.7
1999-02-18,2006.4,2328,8.0997,344.5
1999-03-17,1984.87,2329.3,8.135,311.8
1999-04-14,2002.53,2334.5,8.123,323.7
1999-05-10,2008.23,2336,8.1,345
1999-07-14,1971.4,2301.5,8.0938,345.9
1999-08-13,1992.47,2319,8.0759,365.4
1999-10-15,1981.45,2305.5,8.0711,368.5
1999-11-09,1994.5,2325.7,8.0824,359.7
1999-12-15,1993.9,2311,8.0818,359.5
2000-02-03,2001.35,2319,8.0966,346.3
2000-03-01,1994.55,2313.5,8.0946,347.6
2000-03-29,2000.35,2321,8.0942,348.6
2000-04-26,1980.85,2299.5,8.0941,346.5
2000-05-25,1980.4,2291,8.0677,371.1
2000-06-21,1989.2,2319.5,8.0831,358.4
2000-07-26,1986.95,2325.5,8.0872,354.3
2000-08-23,1992.35,2330.5,8.0827,359.1
2000-10-18,1992.15,2317,8.0678,373.2
2000-11-30,1980,2311,8.095,346
2000-12-20,1973.6,2299.5,8.0922,347.5
2001-01-17,1983.75,2309,8.0929,348.1
2001-02-14,1999.45,2314.5,8.0881,353.9
2001-03-21,1984.1,2299.5,8.0894,350.8
2001-04-18,1990.4,2309,8.0938,347.7
2001-05-16,1995.15,2318,8.0948,347.7
2001-06-14,1988.6,2325,8.0984,344.1
2001-07-11,1973.6,2309,8.0857,353.8
2001-08-08,1985.6,2314,8.0757,364.7
2001-10-02,1986.25,2315,8.068,372.1
2001-10-23,1993.9,2331,8.0885,353.9
2001-11-17,1982.65,2309.5,8.0814,358.5
2001-12-14,1990.75,2317.5,8.0925,349.4
2002-01-16,1998.05,2321.5,8.0959,347
2002-02-21,1997.4,2321.5,8.108,335.9
2002-03-13,2007,2332,8.1085,336.8
2002-05-21,1978.3,2296.5,8.0811,358.4
2002-06-29,1971.3,2291.5,8.071,367.1
2002-08-28,1970.05,2297,8.0706,367.5
2002-10-07,1967.85,2307,8.0862,352.6
2002-11-04,1974,2311.5,8.0876,351.9
2002-11-25,1981.1,2313.5,8.0876,352.6
2002-12-19,1986.4,2315,8.0937,347.4
2003-01-17,1995.1,2323,8.1025,340.6
2003-02-26,1997.05,2322.5,8.104,339.5
2003-03-29,1997.75,2324,8.1016,341.8
2003-04-24,1973.7,2302.5,8.0963,343.6
2003-05-21,1976.2,2305.5,8.0905,349.5
2003-06-20,1978.2,2311,8.0824,357.3
2003-07-20,1989.35,2324,8.0777,363.6
2003-08-21,1967,2300.5,8.0829,355.7
2003-10-15,1967.75,2311.5,8.0873,351.8
2003-11-10,1973.15,2316.5,8.0884,351.3
2003-12-20,1986.9,2326,8.1134,330.2
2004-01-22,1986.05,2312,8.0967,344.7
2004-02-25,1978.95,2315.5,8.1096,332.9
2004-03-20,1991.5,2326.5,8.1244,321.3
2004-04-21,1978,2301.5,8.0988,341.8
2004-05-19,1956.15,2281.5,8.0878,349.4
2004-06-16,1960.25,2288,8.0852,352.5
2004-07-13,1952.4,2275.5,8.0701,365.6
2004-08-16,1961.35,2292.5,8.071,366.1
2004-09-29,1956.75,2292.5,8.0705,366
2004-10-31,1980.75,2317,8.0836,356.9
2004-11-28,1957,2296,8.0898,347.6
2004-12-21,1971.3,2307,8.0992,341.1
2005-02-02,1974.85,2297,8.0963,343.5
2005-03-05,1976.85,2305.5,8.1065,334.9
2005-05-18,1975.55,2304,8.0899,350.2
2005-06-15,1994.35,2321.5,8.0809,361
2005-07-17,1983.5,2305,8.0664,373.7
2005-08-14,1980.5,2312.5,8.0751,365
2005-09-10,1982.05,2308,8.0601,380
2005-10-09,1980.9,2315,8.0777,362.5
2005-11-12,1983,2311,8.0843,356.3
2005-12-13,1985.5,2314.5,8.0888,352.2
2006-01-25,1989.18,2322,8.1135,330.3
2006-02-15,1999.02,2315.7,8.0953,347.5
2006-03-10,1993.4,2318.5,8.1084,335.4
2006-04-02,1964.52,2284.4,8.104,334.9
2006-05-27,1999.22,2316.3,8.0901,352.4
2006-06-14,1972.35,2289.4,8.0646,373.5
2006-07-13,1976.86,2300.4,8.0804,359.2
2006-08-09,1966.93,2294,8.0723,365.6
2006-09-16,1980.88,2316.9,8.077,363.3
2006-10-21,1983.22,2309.8,8.0679,372.2
2006-11-09,1979.68,2309.6,8.0772,362.6
2006-12-10,1984.29,2314.5,8.0908,350.1
2007-02-07,1989,2317.5,8.1047,338
2007-03-21,1993.95,2314,8.0973,345.1
2007-05-05,1979.43,2296.3,8.0808,358.9
2007-06-10,NA,NA,NA,NA
2007-07-08,1986.6,2304.3,8.0631,377.1
2007-08-04,1980.25,2306.5,8.066,373.8
2007-09-03,1984.05,2310,8.0616,378.6
2007-10-03,1985.3,2308,8.0639,376.4
2007-12-02,1985.25,2300,8.0678,372.1
2007-12-21,1987.75,2309,8.0856,355.5
2008-01-30,2000.65,2317,8.0957,347.4
2008-02-24,1998.9,2319.5,8.0957,347.4
2008-05-28,1987.45,2303.5,8.0694,371.1
2008-06-26,1986.1,2309.5,8.0735,367
2008-07-27,1985.05,2304,8.0635,376.9
2008-08-17,1979.05,2306,8.0729,366.7
2008-10-11,1985.9,2323.5,8.0799,361
2008-12-01,1995.4,2320.5,8.0816,360.5
2008-12-15,NA,NA,NA,NA
2009-01-21,2001.4,2325,8.0996,344.1
2009-02-18,2006.6,2331.5,8.1084,337
2009-04-29,2013.2,2325.5,8.0898,354.6
2009-05-28,2013.55,2329,8.0693,374.7
2009-07-04,2000.55,2321.5,8.0676,375.3
2009-07-25,2001.35,2319.5,8.0584,384.4
2009-08-19,1999.55,2323.5,8.0614,381.3
2009-09-25,2013.05,2339.5,8.0541,390.8
2009-11-04,1997.85,2326.5,8.0667,375.7
2009-12-10,2009.2,2331,8.0801,363.7
2010-02-15,NA,NA,NA,NA
2010-03-10,2005.85,2327.5,8.0969,347.4
2010-04-07,2008.1,2329.5,8.0968,347.8
2010-05-19,2007,2329,8.0839,359.9
2010-06-09,2017.6,2335.5,8.0688,375.9
2010-07-09,2003.25,2330,8.0703,373.1
2010-08-08,1997.1,2325.5,8.0785,364.1
2010-09-04,1998.2,2322.5,8.0691,373.2
2010-10-04,1997.05,2323,8.0651,377
2010-11-21,1996.45,2316,8.0715,370.4
2011-01-09,NA,NA,NA,NA
2011-01-29,2011.95,2333,8.0891,355.4
2011-03-01,1997.3,2323.5,8.0918,351.2
2011-04-12,1992.85,2312,8.0885,353.3
2011-05-10,2002.65,2321,8.0797,362.9
2011-07-20,1984.5,2302,8.0696,370.5
2011-08-30,1989.3,2317,8.0717,369.2
2011-09-27,1993.15,2319,8.0645,377
2011-11-05,1989.15,2313,8.0674,373.3
2011-11-29,1995.75,2317.5,8.0802,361.6
2011-12-20,2005.5,2322.5,8.0811,362
2012-01-19,2007.6,2325,8.0876,356.3
2012-03-25,2008.7,2322.5,8.0905,353.5
2012-05-02,2008.95,2318.5,8.0789,364.5
2012-05-31,2005.25,2318,8.0725,370.4
2012-06-27,2012.75,2324,8.0664,377.6
2012-08-01,2007.85,2318,8.0563,387.1
2012-08-18,2000,2308,8.0499,392.1
2012-09-15,1998.75,2306,8.0477,394.6
2012-10-08,2000.85,2317,8.0587,384.1
2012-12-04,2013.8,2333,8.0697,374.7
2013-02-13,2019.65,2331,8.0821,362.7
2013-03-07,2024.5,2334,8.084,361.4
2013-04-06,2028.3,2337,8.0822,363.7
2013-05-18,1995.3,2301.5,8.0571,384.5
2013-06-26,2007.85,2321,8.0581,385.5
2013-09-12,2009.15,2337,8.0499,394.5
2013-10-02,1999,2328,8.0633,379.5
2013-10-28,1998.8,2323,8.0563,386.4
2013-11-27,2009.15,2338.5,8.0733,370.8
2013-12-21,2007.9,2337.5,8.0824,361.6
2014-01-16,2017.95,2340,8.0817,363.4
2014-02-15,2018.1,2336.5,8.0888,356.5
2014-03-06,2006.75,2324.5,8.0806,362.8
2014-04-11,2013.9,2329,8.0857,358.7
2014-06-01,2006,2329,8.0751,368.2
2014-07-01,2004.55,2324,8.06,383.2
2014-09-15,1980.8,2299.5,8.0417,398.7
2014-10-14,1979.6,2307.5,8.0516,388.6
2014-11-22,1995.8,2328,8.0709,371.2
2014-12-17,2007.85,2327.5,8.0744,369.1
2015-02-25,2008.45,2323.5,8.0781,365.4
2015-03-29,2013.35,2325,8.0776,366.3
2015-04-22,1999,2317.5,8.0822,360.3
2015-05-24,2006.1,2324,8.0764,367.2
2015-06-20,1995.25,2309,8.058,383.5
2015-07-20,1996.4,2312.5,8.0424,400.2
2015-08-13,2001.95,2331.5,8.0536,389.9
2015-09-26,NA,NA,NA,NA
2015-10-14,1997.45,2323,8.0639,378.4
2015-11-14,1994.5,2319,8.067,374.8
2015-12-09,1982.8,2306,8.0711,369
2016-01-13,1983.05,2305,8.0818,358.8
2016-02-10,1990.7,2310,8.0814,360
2016-03-09,1995.75,2315,8.0832,359
2016-04-15,1986.65,2300,8.0779,362.7
2016-05-29,1984.45,2303,8.0642,376.2
2016-07-12,1985.6,2300.5,8.0581,382.3
2016-08-10,1983.6,2301,8.0572,383
2016-10-16,1987.4,2304.5,8.0551,385.8
2016-11-27,1996.1,2311.5,8.0676,374
